WA_NDB_No,WA_Shrt_Desc, Edible ,Tagname,NutrDesc,Units,Nutr_Val
11_004,"Palm oil, red",100,K,"Potassium, K",mg,0
11_004,"Palm oil, red",100,MG,"Magnesium, Mg",mg,0
11_004,"Palm oil, red",100,NA,"Sodium, Na",mg,0
11_004,"Palm oil, red",100,NIA,Niacin,mg,0
11_004,"Palm oil, red",100,P,"Phosphorus, P",mg,0
11_004,"Palm oil, red",100,PROCNT,Protein,g,0
11_004,"Palm oil, red",100,RETOL,Retinol,mcg,0
11_004,"Palm oil, red",100,RIBF,Riboflavin,mg,0
11_004,"Palm oil, red",100,THIA,Thiamin,mg,0
11_004,"Palm oil, red",100,VITA_RAE,"Vitamin A, RAE",mcg,2500
11_004,"Palm oil, red",100,VITB12,Vitamin B-12,mcg,0
11_004,"Palm oil, red",100,VITB6A,Vitamin B-6,mg,0
11_004,"Palm oil, red",100,VITC,"Vitamin C, total ascorbic acid",mg,0
11_004,"Palm oil, red",100,VITD,Vitamin D,mcg,0
11_004,"Palm oil, red",100,VITE,Vitamin E,mg,15.94
11_004,"Palm oil, red",100,WATER,Water,g,0
11_004,"Palm oil, red",100,ZN,"Zinc, Zn",mg,0
01_072,"Sorghum, flour, degermed",100,ASH,Ash,g,1.9
01_072,"Sorghum, flour, degermed",100,CA,"Calcium, Ca",mg,12.23
01_072,"Sorghum, flour, degermed",100,CARTB,"Carotene, beta",mcg,
01_072,"Sorghum, flour, degermed",100,CARTBEQ,"Carotene equivalent, beta",mcg,1
01_072,"Sorghum, flour, degermed",100,CHOCDF,Carbohydrate,g,70.4
01_072,"Sorghum, flour, degermed",100,CU,"Copper, Cu",mg,0.22
01_072,"Sorghum, flour, degermed",100,ENERC_KCAL,Energy,kcal,347
01_072,"Sorghum, flour, degermed",100,ENERC_KJ,Energy,kJ,1470
01_072,"Sorghum, flour, degermed",100,FAT,Total lipid (fat),g,1.69
01_072,"Sorghum, flour, degermed",100,FE,"Iron, Fe",mg,3.8
01_072,"Sorghum, flour, degermed",100,FIBTG,"Fiber, total dietary",g,4.65
01_072,"Sorghum, flour, degermed",100,FOL,Folate,mcg,25
01_072,"Sorghum, flour, degermed",100,K,"Potassium, K",mg,307.75
01_072,"Sorghum, flour, degermed",100,MG,"Magnesium, Mg",mg,118.75
01_072,"Sorghum, flour, degermed",100,NA,"Sodium, Na",mg,13.67
01_072,"Sorghum, flour, degermed",100,NIA,Niacin,mg,1.37
01_072,"Sorghum, flour, degermed",100,P,"Phosphorus, P",mg,284.99
01_072,"Sorghum, flour, degermed",100,PROCNT,Protein,g,10.4
01_072,"Sorghum, flour, degermed",100,RETOL,Retinol,mcg,0
01_072,"Sorghum, flour, degermed",100,RIBF,Riboflavin,mg,0.12
01_072,"Sorghum, flour, degermed",100,THIA,Thiamin,mg,0.18
01_072,"Sorghum, flour, degermed",100,VITA_RAE,"Vitamin A, RAE",mcg,0.1
01_072,"Sorghum, flour, degermed",100,VITB12,Vitamin B-12,mcg,0
01_072,"Sorghum, flour, degermed",100,VITB6A,Vitamin B-6,mg,0.25
01_072,"Sorghum, flour, degermed",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_072,"Sorghum, flour, degermed",100,VITD,Vitamin D,mcg,0
01_072,"Sorghum, flour, degermed",100,VITE,Vitamin E,mg,0.26
01_072,"Sorghum, flour, degermed",100,WATER,Water,g,11
01_072,"Sorghum, flour, degermed",100,ZN,"Zinc, Zn",mg,2.14
01_042,"Sorghum, whole grain, boiled* (without salt)",100,ASH,Ash,g,1
01_042,"Sorghum, whole grain, boiled* (without salt)",100,CA,"Calcium, Ca",mg,10.04
01_042,"Sorghum, whole grain, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,6
01_042,"Sorghum, whole grain, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,
01_042,"Sorghum, whole grain, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,26.3
01_042,"Sorghum, whole grain, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.16
01_042,"Sorghum, whole grain, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,143
01_042,"Sorghum, whole grain, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,606
01_042,"Sorghum, whole grain, boiled* (without salt)",100,FAT,Total lipid (fat),g,1.39
01_042,"Sorghum, whole grain, boiled* (without salt)",100,FE,"Iron, Fe",mg,1.5
01_042,"Sorghum, whole grain, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,4.1
01_042,"Sorghum, whole grain, boiled* (without salt)",100,FOL,Folate,mcg,8.54
01_042,"Sorghum, whole grain, boiled* (without salt)",100,K,"Potassium, K",mg,122
01_042,"Sorghum, whole grain, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,129.41
01_042,"Sorghum, whole grain, boiled* (without salt)",100,NA,"Sodium, Na",mg,4.56
01_042,"Sorghum, whole grain, boiled* (without salt)",100,NIA,Niacin,mg,1.1
01_042,"Sorghum, whole grain, boiled* (without salt)",100,P,"Phosphorus, P",mg,120
01_042,"Sorghum, whole grain, boiled* (without salt)",100,PROCNT,Protein,g,4.4
01_042,"Sorghum, whole grain, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_042,"Sorghum, whole grain, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.05
01_042,"Sorghum, whole grain, boiled* (without salt)",100,THIA,Thiamin,mg,0.1
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,0.52
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.07
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_042,"Sorghum, whole grain, boiled* (without salt)",100,VITE,Vitamin E,mg,0.46
01_042,"Sorghum, whole grain, boiled* (without salt)",100,WATER,Water,g,62.9
01_042,"Sorghum, whole grain, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.72
01_039,"Sorghum, whole grain, raw ",100,ASH,Ash,g,2.4
01_039,"Sorghum, whole grain, raw ",100,CA,"Calcium, Ca",mg,24.11
01_039,"Sorghum, whole grain, raw ",100,CARTB,"Carotene, beta",mcg,17
01_039,"Sorghum, whole grain, raw ",100,CARTBEQ,"Carotene equivalent, beta",mcg,
01_039,"Sorghum, whole grain, raw ",100,CHOCDF,Carbohydrate,g,63.1
01_039,"Sorghum, whole grain, raw ",100,CU,"Copper, Cu",mg,0.38
01_039,"Sorghum, whole grain, raw ",100,ENERC_KCAL,Energy,kcal,344
01_039,"Sorghum, whole grain, raw ",100,ENERC_KJ,Energy,kJ,1450
01_039,"Sorghum, whole grain, raw ",100,FAT,Total lipid (fat),g,3.33
01_039,"Sorghum, whole grain, raw ",100,FE,"Iron, Fe",mg,3.7
01_039,"Sorghum, whole grain, raw ",100,FIBTG,"Fiber, total dietary",g,9.9
01_039,"Sorghum, whole grain, raw ",100,FOL,Folate,mcg,29.29
01_039,"Sorghum, whole grain, raw ",100,K,"Potassium, K",mg,376.51
01_039,"Sorghum, whole grain, raw ",100,MG,"Magnesium, Mg",mg,310.59
01_039,"Sorghum, whole grain, raw ",100,NA,"Sodium, Na",mg,13.67
01_039,"Sorghum, whole grain, raw ",100,NIA,Niacin,mg,3.3
01_039,"Sorghum, whole grain, raw ",100,P,"Phosphorus, P",mg,296.69
01_039,"Sorghum, whole grain, raw ",100,PROCNT,Protein,g,10.5
01_039,"Sorghum, whole grain, raw ",100,RETOL,Retinol,mcg,0
01_039,"Sorghum, whole grain, raw ",100,RIBF,Riboflavin,mg,0.16
01_039,"Sorghum, whole grain, raw ",100,THIA,Thiamin,mg,0.36
01_039,"Sorghum, whole grain, raw ",100,VITA_RAE,"Vitamin A, RAE",mcg,1.39
01_039,"Sorghum, whole grain, raw ",100,VITB12,Vitamin B-12,mcg,0
01_039,"Sorghum, whole grain, raw ",100,VITB6A,Vitamin B-6,mg,0.25
01_039,"Sorghum, whole grain, raw ",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_039,"Sorghum, whole grain, raw ",100,VITD,Vitamin D,mcg,0
01_039,"Sorghum, whole grain, raw ",100,VITE,Vitamin E,mg,1.1
01_039,"Sorghum, whole grain, raw ",100,WATER,Water,g,10.87
01_039,"Sorghum, whole grain, raw ",100,ZN,"Zinc, Zn",mg,1.79
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,ASH,Ash,g,1
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,CA,"Calcium, Ca",mg,10
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,26.5
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.11
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,145
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,612
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,FAT,Total lipid (fat),g,1.46
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,FE,"Iron, Fe",mg,1.4
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,4.1
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,FOL,Folate,mcg,8.62
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,K,"Potassium, K",mg,126
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,130
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,NA,"Sodium, Na",mg,4.56
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,NIA,Niacin,mg,1.1
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,P,"Phosphorus, P",mg,120
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,PROCNT,Protein,g,4.4
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.05
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,THIA,Thiamin,mg,0.1
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.07
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,VITE,Vitamin E,mg,0.46
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,WATER,Water,g,62.54
01_070,"Sorghum, whole grain, red, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.8
01_041,"Sorghum, whole grain, red, raw",100,ASH,Ash,g,2.4
01_041,"Sorghum, whole grain, red, raw",100,CA,"Calcium, Ca",mg,24
01_041,"Sorghum, whole grain, red, raw",100,CARTB,"Carotene, beta",mcg,
01_041,"Sorghum, whole grain, red, raw",100,CARTBEQ,"Carotene equivalent, beta",mcg,
01_041,"Sorghum, whole grain, red, raw",100,CHOCDF,Carbohydrate,g,63.6
01_041,"Sorghum, whole grain, red, raw",100,CU,"Copper, Cu",mg,0.26
01_041,"Sorghum, whole grain, red, raw",100,ENERC_KCAL,Energy,kcal,348
01_041,"Sorghum, whole grain, red, raw",100,ENERC_KJ,Energy,kJ,1470
01_041,"Sorghum, whole grain, red, raw",100,FAT,Total lipid (fat),g,3.5
01_041,"Sorghum, whole grain, red, raw",100,FE,"Iron, Fe",mg,3.4
01_041,"Sorghum, whole grain, red, raw",100,FIBTG,"Fiber, total dietary",g,9.9
01_041,"Sorghum, whole grain, red, raw",100,FOL,Folate,mcg,29.54
01_041,"Sorghum, whole grain, red, raw",100,K,"Potassium, K",mg,387.46
01_041,"Sorghum, whole grain, red, raw",100,MG,"Magnesium, Mg",mg,311
01_041,"Sorghum, whole grain, red, raw",100,NA,"Sodium, Na",mg,13.67
01_041,"Sorghum, whole grain, red, raw",100,NIA,Niacin,mg,3.33
01_041,"Sorghum, whole grain, red, raw",100,P,"Phosphorus, P",mg,296.67
01_041,"Sorghum, whole grain, red, raw",100,PROCNT,Protein,g,10.5
01_041,"Sorghum, whole grain, red, raw",100,RETOL,Retinol,mcg,0
01_041,"Sorghum, whole grain, red, raw",100,RIBF,Riboflavin,mg,0.16
01_041,"Sorghum, whole grain, red, raw",100,THIA,Thiamin,mg,0.36
01_041,"Sorghum, whole grain, red, raw",100,VITA_RAE,"Vitamin A, RAE",mcg,
01_041,"Sorghum, whole grain, red, raw",100,VITB12,Vitamin B-12,mcg,0
01_041,"Sorghum, whole grain, red, raw",100,VITB6A,Vitamin B-6,mg,0.25
01_041,"Sorghum, whole grain, red, raw",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_041,"Sorghum, whole grain, red, raw",100,VITD,Vitamin D,mcg,0
01_041,"Sorghum, whole grain, red, raw",100,VITE,Vitamin E,mg,1.1
01_041,"Sorghum, whole grain, red, raw",100,WATER,Water,g,10.1
01_041,"Sorghum, whole grain, red, raw",100,ZN,"Zinc, Zn",mg,1.97
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,ASH,Ash,g,0.8
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,CA,"Calcium, Ca",mg,10
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,27.3
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.07
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,148
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,623
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,FAT,Total lipid (fat),g,1.63
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,FE,"Iron, Fe",mg,1.6
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,4.1
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,FOL,Folate,mcg,8.68
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,K,"Potassium, K",mg,97
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,130
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,NA,"Sodium, Na",mg,4.56
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,NIA,Niacin,mg,1.12
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,P,"Phosphorus, P",mg,101
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,PROCNT,Protein,g,3.92
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.05
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,THIA,Thiamin,mg,0.1
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.07
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,VITE,Vitamin E,mg,0.46
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,WATER,Water,g,62.25
01_071,"Sorghum, whole grain, white, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.84
01_040,"Sorghum, whole grain, white, raw",100,ASH,Ash,g,2
01_040,"Sorghum, whole grain, white, raw",100,CA,"Calcium, Ca",mg,24
01_040,"Sorghum, whole grain, white, raw",100,CARTB,"Carotene, beta",mcg,
01_040,"Sorghum, whole grain, white, raw",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_040,"Sorghum, whole grain, white, raw",100,CHOCDF,Carbohydrate,g,65.5
01_040,"Sorghum, whole grain, white, raw",100,CU,"Copper, Cu",mg,0.18
01_040,"Sorghum, whole grain, white, raw",100,ENERC_KCAL,Energy,kcal,354
01_040,"Sorghum, whole grain, white, raw",100,ENERC_KJ,Energy,kJ,1550
01_040,"Sorghum, whole grain, white, raw",100,FAT,Total lipid (fat),g,3.9
01_040,"Sorghum, whole grain, white, raw",100,FE,"Iron, Fe",mg,3.9
01_040,"Sorghum, whole grain, white, raw",100,FIBTG,"Fiber, total dietary",g,9.9
01_040,"Sorghum, whole grain, white, raw",100,FOL,Folate,mcg,29.77
01_040,"Sorghum, whole grain, white, raw",100,K,"Potassium, K",mg,298.07
01_040,"Sorghum, whole grain, white, raw",100,MG,"Magnesium, Mg",mg,311
01_040,"Sorghum, whole grain, white, raw",100,NA,"Sodium, Na",mg,13.67
01_040,"Sorghum, whole grain, white, raw",100,NIA,Niacin,mg,3.35
01_040,"Sorghum, whole grain, white, raw",100,P,"Phosphorus, P",mg,249.15
01_040,"Sorghum, whole grain, white, raw",100,PROCNT,Protein,g,9.3
01_040,"Sorghum, whole grain, white, raw",100,RETOL,Retinol,mcg,0
01_040,"Sorghum, whole grain, white, raw",100,RIBF,Riboflavin,mg,0.17
01_040,"Sorghum, whole grain, white, raw",100,THIA,Thiamin,mg,0.36
01_040,"Sorghum, whole grain, white, raw",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_040,"Sorghum, whole grain, white, raw",100,VITB12,Vitamin B-12,mcg,0
01_040,"Sorghum, whole grain, white, raw",100,VITB6A,Vitamin B-6,mg,0.25
01_040,"Sorghum, whole grain, white, raw",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_040,"Sorghum, whole grain, white, raw",100,VITD,Vitamin D,mcg,0
01_040,"Sorghum, whole grain, white, raw",100,VITE,Vitamin E,mg,1.1
01_040,"Sorghum, whole grain, white, raw",100,WATER,Water,g,9.41
01_040,"Sorghum, whole grain, white, raw",100,ZN,"Zinc, Zn",mg,2.08
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,ASH,Ash,g,0.9
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,CA,"Calcium, Ca",mg,24.38
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,CARTB,"Carotene, beta",mcg,
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,CARTBEQ,"Carotene equivalent, beta",mcg,4530
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,CHOCDF,Carbohydrate,g,24.52
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,CU,"Copper, Cu",mg,0.12
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,ENERC_KCAL,Energy,kcal,112
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,ENERC_KJ,Energy,kJ,475
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,FAT,Total lipid (fat),g,0.25
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,FE,"Iron, Fe",mg,1
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,FIBTG,"Fiber, total dietary",g,3.02
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,FOL,Folate,mcg,32.76
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,K,"Potassium, K",mg,264
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,MG,"Magnesium, Mg",mg,13.95
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,NA,"Sodium, Na",mg,15.2
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,NIA,Niacin,mg,0.49
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,P,"Phosphorus, P",mg,37.51
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,PROCNT,Protein,g,1.48
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,RETOL,Retinol,mcg,0
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,RIBF,Riboflavin,mg,0.04
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,THIA,Thiamin,mg,0.07
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITA_RAE,"Vitamin A, RAE",mcg,377.45
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITB12,Vitamin B-12,mcg,0
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITB6A,Vitamin B-6,mg,0.15
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITC,"Vitamin C, total ascorbic acid",mg,21.7
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITD,Vitamin D,mcg,0
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,VITE,Vitamin E,mg,0.23
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,WATER,Water,g,69.19
02_012,"Sweet potato, deep yellow, boiled* (without salt)",90,ZN,"Zinc, Zn",mg,0.35
02_011,"Sweet potato, deep yellow, raw",90,ASH,Ash,g,0.9
02_011,"Sweet potato, deep yellow, raw",90,CA,"Calcium, Ca",mg,25.67
02_011,"Sweet potato, deep yellow, raw",90,CARTB,"Carotene, beta",mcg,
02_011,"Sweet potato, deep yellow, raw",90,CARTBEQ,"Carotene equivalent, beta",mcg,4770
02_011,"Sweet potato, deep yellow, raw",90,CHOCDF,Carbohydrate,g,24.52
02_011,"Sweet potato, deep yellow, raw",90,CU,"Copper, Cu",mg,0.13
02_011,"Sweet potato, deep yellow, raw",90,ENERC_KCAL,Energy,kcal,112
02_011,"Sweet potato, deep yellow, raw",90,ENERC_KJ,Energy,kJ,475
02_011,"Sweet potato, deep yellow, raw",90,FAT,Total lipid (fat),g,0.25
02_011,"Sweet potato, deep yellow, raw",90,FE,"Iron, Fe",mg,1.1
02_011,"Sweet potato, deep yellow, raw",90,FIBTG,"Fiber, total dietary",g,3.02
02_011,"Sweet potato, deep yellow, raw",90,FOL,Folate,mcg,52
02_011,"Sweet potato, deep yellow, raw",90,K,"Potassium, K",mg,330
02_011,"Sweet potato, deep yellow, raw",90,MG,"Magnesium, Mg",mg,15.5
02_011,"Sweet potato, deep yellow, raw",90,NA,"Sodium, Na",mg,19
02_011,"Sweet potato, deep yellow, raw",90,NIA,Niacin,mg,0.65
02_011,"Sweet potato, deep yellow, raw",90,P,"Phosphorus, P",mg,40.33
02_011,"Sweet potato, deep yellow, raw",90,PROCNT,Protein,g,1.48
02_011,"Sweet potato, deep yellow, raw",90,RETOL,Retinol,mcg,0
02_011,"Sweet potato, deep yellow, raw",90,RIBF,Riboflavin,mg,0.05
02_011,"Sweet potato, deep yellow, raw",90,THIA,Thiamin,mg,0.09
02_011,"Sweet potato, deep yellow, raw",90,VITA_RAE,"Vitamin A, RAE",mcg,397.22
02_011,"Sweet potato, deep yellow, raw",90,VITB12,Vitamin B-12,mcg,0
02_011,"Sweet potato, deep yellow, raw",90,VITB6A,Vitamin B-6,mg,0.2
02_011,"Sweet potato, deep yellow, raw",90,VITC,"Vitamin C, total ascorbic acid",mg,31
02_011,"Sweet potato, deep yellow, raw",90,VITD,Vitamin D,mcg,0
02_011,"Sweet potato, deep yellow, raw",90,VITE,Vitamin E,mg,0.23
02_011,"Sweet potato, deep yellow, raw",90,WATER,Water,g,69.83
02_011,"Sweet potato, deep yellow, raw",90,ZN,"Zinc, Zn",mg,0.39
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,ASH,Ash,g,0.88
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,CA,"Calcium, Ca",mg,25.97
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,CARTB,"Carotene, beta",mcg,
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,CARTBEQ,"Carotene equivalent, beta",mcg,36.58
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,CHOCDF,Carbohydrate,g,25.3
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,CU,"Copper, Cu",mg,0.12
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,ENERC_KCAL,Energy,kcal,115
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,ENERC_KJ,Energy,kJ,486
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,FAT,Total lipid (fat),g,0.18
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,FE,"Iron, Fe",mg,1
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,FIBTG,"Fiber, total dietary",g,3
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,FOL,Folate,mcg,32.76
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,K,"Potassium, K",mg,365.62
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,MG,"Magnesium, Mg",mg,14.4
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,NA,"Sodium, Na",mg,16
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,NIA,Niacin,mg,0.48
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,P,"Phosphorus, P",mg,47.74
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,PROCNT,Protein,g,1.45
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,RETOL,Retinol,mcg,0
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,RIBF,Riboflavin,mg,0.04
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,THIA,Thiamin,mg,0.07
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITA_RAE,"Vitamin A, RAE",mcg,3.05
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITB12,Vitamin B-12,mcg,0
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITB6A,Vitamin B-6,mg,0.2
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITC,"Vitamin C, total ascorbic acid",mg,15.63
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITD,Vitamin D,mcg,0
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,VITE,Vitamin E,mg,0.17
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,WATER,Water,g,69.19
02_023,"Sweet potato, pale yellow, boiled* (without salt)",90,ZN,"Zinc, Zn",mg,0.35
02_022,"Sweet potato, pale yellow, raw",90,ASH,Ash,g,0.88
02_022,"Sweet potato, pale yellow, raw",90,CA,"Calcium, Ca",mg,27.33
02_022,"Sweet potato, pale yellow, raw",90,CARTB,"Carotene, beta",mcg,
02_022,"Sweet potato, pale yellow, raw",90,CARTBEQ,"Carotene equivalent, beta",mcg,38.5
02_022,"Sweet potato, pale yellow, raw",90,CHOCDF,Carbohydrate,g,25.3
02_022,"Sweet potato, pale yellow, raw",90,CU,"Copper, Cu",mg,0.13
02_022,"Sweet potato, pale yellow, raw",90,ENERC_KCAL,Energy,kcal,115
