Country,Code_FdGp,Crop,Tagname,Desc,Units,Values
Brazil,2542,Sugar,VITB12,B12,mg/kg,0
Brazil,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Brazil,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Brazil,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brazil,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Brazil,2542,Sugar,VITD,VIT. D,IU/kg,0
Brazil,2586,Margarine,FE,IRON,mg/kg,0
Brazil,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Brazil,2586,Margarine,ZN,ZINC,mg/kg,0
Brazil,2586,Margarine,VITB12,B12,mg/kg,0
Brazil,2586,Margarine,VITA_RAE,VIT. A,IU/kg,15000
Brazil,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Brazil,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brazil,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Brazil,2586,Margarine,VITD,VIT. D,IU/kg,0
Brazil,2570000,Cooking Oil,FE,IRON,mg/kg,0
Brazil,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Brazil,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Brazil,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Brazil,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Brazil,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Brazil,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brazil,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Brazil,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2511,Wheat,FE,IRON,mg/kg,0
Brunei Darussalam,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2511,Wheat,ZN,ZINC,mg/kg,0
Brunei Darussalam,2511,Wheat,VITB12,B12,mg/kg,0
Brunei Darussalam,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Brunei Darussalam,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2511,Wheat,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2514,Maize,FE,IRON,mg/kg,0
Brunei Darussalam,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2514,Maize,ZN,ZINC,mg/kg,0
Brunei Darussalam,2514,Maize,VITB12,B12,mg/kg,0
Brunei Darussalam,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Brunei Darussalam,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2514,Maize,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2805,Rice,FE,IRON,mg/kg,0
Brunei Darussalam,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2805,Rice,ZN,ZINC,mg/kg,0
Brunei Darussalam,2805,Rice,VITB12,B12,mg/kg,0
Brunei Darussalam,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Brunei Darussalam,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2805,Rice,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2848,Milk,FE,IRON,mg/kg,0
Brunei Darussalam,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2848,Milk,ZN,ZINC,mg/kg,0
Brunei Darussalam,2848,Milk,VITB12,B12,mg/kg,0
Brunei Darussalam,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Brunei Darussalam,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2848,Milk,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2542,Sugar,FE,IRON,mg/kg,0
Brunei Darussalam,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2542,Sugar,ZN,ZINC,mg/kg,0
Brunei Darussalam,2542,Sugar,VITB12,B12,mg/kg,0
Brunei Darussalam,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Brunei Darussalam,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2542,Sugar,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2586,Margarine,FE,IRON,mg/kg,0
Brunei Darussalam,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2586,Margarine,ZN,ZINC,mg/kg,0
Brunei Darussalam,2586,Margarine,VITB12,B12,mg/kg,0
Brunei Darussalam,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Brunei Darussalam,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2586,Margarine,VITD,VIT. D,IU/kg,0
Brunei Darussalam,2570000,Cooking Oil,FE,IRON,mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Brunei Darussalam,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Brunei Darussalam,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Bulgaria,2511,Wheat,FE,IRON,mg/kg,44
Bulgaria,2511,Wheat,FOL,FOLIC ACID,mg/kg,1.54
Bulgaria,2511,Wheat,ZN,ZINC,mg/kg,0
Bulgaria,2511,Wheat,VITB12,B12,mg/kg,0
Bulgaria,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Bulgaria,2511,Wheat,THIA,THIAMIN (B1),mg/kg,6
Bulgaria,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2511,Wheat,NIA,NIACIN (B3),mg/kg,55
Bulgaria,2511,Wheat,VITD,VIT. D,IU/kg,0
Bulgaria,2514,Maize,FE,IRON,mg/kg,0
Bulgaria,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2514,Maize,ZN,ZINC,mg/kg,0
Bulgaria,2514,Maize,VITB12,B12,mg/kg,0
Bulgaria,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Bulgaria,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2514,Maize,VITD,VIT. D,IU/kg,0
Bulgaria,2805,Rice,FE,IRON,mg/kg,0
Bulgaria,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2805,Rice,ZN,ZINC,mg/kg,0
Bulgaria,2805,Rice,VITB12,B12,mg/kg,0
Bulgaria,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Bulgaria,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2805,Rice,VITD,VIT. D,IU/kg,0
Bulgaria,2848,Milk,FE,IRON,mg/kg,0
Bulgaria,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2848,Milk,ZN,ZINC,mg/kg,0
Bulgaria,2848,Milk,VITB12,B12,mg/kg,0
Bulgaria,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Bulgaria,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2848,Milk,VITD,VIT. D,IU/kg,0
Bulgaria,2542,Sugar,FE,IRON,mg/kg,0
Bulgaria,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2542,Sugar,ZN,ZINC,mg/kg,0
Bulgaria,2542,Sugar,VITB12,B12,mg/kg,0
Bulgaria,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Bulgaria,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2542,Sugar,VITD,VIT. D,IU/kg,0
Bulgaria,2586,Margarine,FE,IRON,mg/kg,0
Bulgaria,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2586,Margarine,ZN,ZINC,mg/kg,0
Bulgaria,2586,Margarine,VITB12,B12,mg/kg,0
Bulgaria,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Bulgaria,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2586,Margarine,VITD,VIT. D,IU/kg,0
Bulgaria,2570000,Cooking Oil,FE,IRON,mg/kg,0
Bulgaria,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Bulgaria,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Bulgaria,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Bulgaria,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Bulgaria,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Bulgaria,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Bulgaria,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Bulgaria,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Burkina Faso,2511,Wheat,FE,IRON,mg/kg,60
Burkina Faso,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2511,Wheat,ZN,ZINC,mg/kg,0
Burkina Faso,2511,Wheat,VITB12,B12,mg/kg,0
Burkina Faso,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Burkina Faso,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2511,Wheat,VITD,VIT. D,IU/kg,0
Burkina Faso,2514,Maize,FE,IRON,mg/kg,0
Burkina Faso,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2514,Maize,ZN,ZINC,mg/kg,0
Burkina Faso,2514,Maize,VITB12,B12,mg/kg,0
Burkina Faso,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Burkina Faso,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2514,Maize,VITD,VIT. D,IU/kg,0
Burkina Faso,2805,Rice,FE,IRON,mg/kg,0
Burkina Faso,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2805,Rice,ZN,ZINC,mg/kg,0
Burkina Faso,2805,Rice,VITB12,B12,mg/kg,0
Burkina Faso,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Burkina Faso,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2805,Rice,VITD,VIT. D,IU/kg,0
Burkina Faso,2848,Milk,FE,IRON,mg/kg,0
Burkina Faso,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2848,Milk,ZN,ZINC,mg/kg,0
Burkina Faso,2848,Milk,VITB12,B12,mg/kg,0
Burkina Faso,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Burkina Faso,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2848,Milk,VITD,VIT. D,IU/kg,0
Burkina Faso,2542,Sugar,FE,IRON,mg/kg,0
Burkina Faso,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2542,Sugar,ZN,ZINC,mg/kg,0
Burkina Faso,2542,Sugar,VITB12,B12,mg/kg,0
Burkina Faso,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Burkina Faso,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2542,Sugar,VITD,VIT. D,IU/kg,0
Burkina Faso,2586,Margarine,FE,IRON,mg/kg,0
Burkina Faso,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2586,Margarine,ZN,ZINC,mg/kg,0
Burkina Faso,2586,Margarine,VITB12,B12,mg/kg,0
Burkina Faso,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Burkina Faso,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2586,Margarine,VITD,VIT. D,IU/kg,0
Burkina Faso,2570000,Cooking Oil,FE,IRON,mg/kg,0
Burkina Faso,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Burkina Faso,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Burkina Faso,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Burkina Faso,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,25000
Burkina Faso,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Burkina Faso,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Burkina Faso,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Burkina Faso,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Cambodia,2511,Wheat,FE,IRON,mg/kg,0
Cambodia,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Cambodia,2511,Wheat,ZN,ZINC,mg/kg,0
Cambodia,2511,Wheat,VITB12,B12,mg/kg,0
Cambodia,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Cambodia,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Cambodia,2511,Wheat,VITD,VIT. D,IU/kg,0
Cambodia,2514,Maize,FE,IRON,mg/kg,0
Cambodia,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Cambodia,2514,Maize,ZN,ZINC,mg/kg,0
Cambodia,2514,Maize,VITB12,B12,mg/kg,0
Cambodia,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Cambodia,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Cambodia,2514,Maize,VITD,VIT. D,IU/kg,0
Cambodia,2805,Rice,FE,IRON,mg/kg,0
Cambodia,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Cambodia,2805,Rice,ZN,ZINC,mg/kg,0
Cambodia,2805,Rice,VITB12,B12,mg/kg,0
Cambodia,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Cambodia,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Cambodia,2805,Rice,VITD,VIT. D,IU/kg,0
Cambodia,2848,Milk,FE,IRON,mg/kg,0
Cambodia,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Cambodia,2848,Milk,ZN,ZINC,mg/kg,0
Cambodia,2848,Milk,VITB12,B12,mg/kg,0
Cambodia,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Cambodia,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Cambodia,2848,Milk,VITD,VIT. D,IU/kg,0
Cambodia,2542,Sugar,FE,IRON,mg/kg,0
Cambodia,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Cambodia,2542,Sugar,ZN,ZINC,mg/kg,0
Cambodia,2542,Sugar,VITB12,B12,mg/kg,0
Cambodia,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Cambodia,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Cambodia,2542,Sugar,VITD,VIT. D,IU/kg,0
Cambodia,2586,Margarine,FE,IRON,mg/kg,0
Cambodia,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Cambodia,2586,Margarine,ZN,ZINC,mg/kg,0
Cambodia,2586,Margarine,VITB12,B12,mg/kg,0
Cambodia,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Cambodia,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Cambodia,2586,Margarine,VITD,VIT. D,IU/kg,0
Cambodia,2570000,Cooking Oil,FE,IRON,mg/kg,0
Cambodia,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Cambodia,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Cambodia,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Cambodia,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Cambodia,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Cambodia,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cambodia,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Cambodia,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Cameroon,2511,Wheat,FE,IRON,mg/kg,60
Cameroon,2511,Wheat,FOL,FOLIC ACID,mg/kg,2.6
Cameroon,2511,Wheat,ZN,ZINC,mg/kg,55
Cameroon,2511,Wheat,VITB12,B12,mg/kg,0.02
Cameroon,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Cameroon,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Cameroon,2511,Wheat,VITD,VIT. D,IU/kg,0
Cameroon,2514,Maize,FE,IRON,mg/kg,0
Cameroon,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Cameroon,2514,Maize,ZN,ZINC,mg/kg,0
Cameroon,2514,Maize,VITB12,B12,mg/kg,0
Cameroon,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Cameroon,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Cameroon,2514,Maize,VITD,VIT. D,IU/kg,0
Cameroon,2805,Rice,FE,IRON,mg/kg,0
Cameroon,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Cameroon,2805,Rice,ZN,ZINC,mg/kg,0
Cameroon,2805,Rice,VITB12,B12,mg/kg,0
Cameroon,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Cameroon,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Cameroon,2805,Rice,VITD,VIT. D,IU/kg,0
Cameroon,2848,Milk,FE,IRON,mg/kg,0
Cameroon,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Cameroon,2848,Milk,ZN,ZINC,mg/kg,0
Cameroon,2848,Milk,VITB12,B12,mg/kg,0
Cameroon,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Cameroon,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Cameroon,2848,Milk,VITD,VIT. D,IU/kg,0
Cameroon,2542,Sugar,FE,IRON,mg/kg,0
Cameroon,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Cameroon,2542,Sugar,ZN,ZINC,mg/kg,0
Cameroon,2542,Sugar,VITB12,B12,mg/kg,0
Cameroon,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Cameroon,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Cameroon,2542,Sugar,VITD,VIT. D,IU/kg,0
Cameroon,2586,Margarine,FE,IRON,mg/kg,0
Cameroon,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Cameroon,2586,Margarine,ZN,ZINC,mg/kg,0
Cameroon,2586,Margarine,VITB12,B12,mg/kg,0
Cameroon,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Cameroon,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Cameroon,2586,Margarine,VITD,VIT. D,IU/kg,0
Cameroon,2570000,Cooking Oil,FE,IRON,mg/kg,0
Cameroon,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Cameroon,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Cameroon,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Cameroon,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Cameroon,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Cameroon,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Cameroon,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Cameroon,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Canada,2511,Wheat,FE,IRON,mg/kg,44
Canada,2511,Wheat,FOL,FOLIC ACID,mg/kg,1.5
Canada,2511,Wheat,ZN,ZINC,mg/kg,0
Canada,2511,Wheat,VITB12,B12,mg/kg,0
Canada,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Canada,2511,Wheat,THIA,THIAMIN (B1),mg/kg,6.4
Canada,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2511,Wheat,NIA,NIACIN (B3),mg/kg,53
Canada,2511,Wheat,VITD,VIT. D,IU/kg,0
Canada,2514,Maize,FE,IRON,mg/kg,0
Canada,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Canada,2514,Maize,ZN,ZINC,mg/kg,0
Canada,2514,Maize,VITB12,B12,mg/kg,0
Canada,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Canada,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Canada,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Canada,2514,Maize,VITD,VIT. D,IU/kg,0
Canada,2805,Rice,FE,IRON,mg/kg,0
Canada,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Canada,2805,Rice,ZN,ZINC,mg/kg,0
Canada,2805,Rice,VITB12,B12,mg/kg,0
Canada,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Canada,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Canada,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Canada,2805,Rice,VITD,VIT. D,IU/kg,0
Canada,2848,Milk,FE,IRON,mg/kg,0
Canada,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Canada,2848,Milk,ZN,ZINC,mg/kg,0
Canada,2848,Milk,VITB12,B12,mg/kg,0
Canada,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Canada,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Canada,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Canada,2848,Milk,VITD,VIT. D,IU/kg,3500
Canada,2542,Sugar,FE,IRON,mg/kg,0
Canada,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Canada,2542,Sugar,ZN,ZINC,mg/kg,0
Canada,2542,Sugar,VITB12,B12,mg/kg,0
Canada,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Canada,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Canada,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Canada,2542,Sugar,VITD,VIT. D,IU/kg,0
Canada,2586,Margarine,FE,IRON,mg/kg,0
Canada,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Canada,2586,Margarine,ZN,ZINC,mg/kg,0
Canada,2586,Margarine,VITB12,B12,mg/kg,0
Canada,2586,Margarine,VITA_RAE,VIT. A,IU/kg,33000
Canada,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Canada,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Canada,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Canada,2586,Margarine,VITD,VIT. D,IU/kg,5300
Canada,2570000,Cooking Oil,FE,IRON,mg/kg,0
Canada,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Canada,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Canada,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Canada,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Canada,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
